"Ukazatel","IndicatorType","Druh PHM","CENPHM","Týdny","CASTPHM","Území","Uz0","Hodnota"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 31. týden 2018","2018-W31","Česko","CZ","32.94"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 32. týden 2018","2018-W32","Česko","CZ","33.07"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 33. týden 2018","2018-W33","Česko","CZ","33.05"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 34. týden 2018","2018-W34","Česko","CZ","33.05"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 35. týden 2018","2018-W35","Česko","CZ","33.07"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 36. týden 2018","2018-W36","Česko","CZ","33.21"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 37. týden 2018","2018-W37","Česko","CZ","33.27"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 38. týden 2018","2018-W38","Česko","CZ","33.28"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 39. týden 2018","2018-W39","Česko","CZ","33.27"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 40. týden 2018","2018-W40","Česko","CZ","33.28"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 41. týden 2018","2018-W41","Česko","CZ","33.41"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 42. týden 2018","2018-W42","Česko","CZ","33.5"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 43. týden 2018","2018-W43","Česko","CZ","33.44"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 44. týden 2018","2018-W44","Česko","CZ","33.43"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 45. týden 2018","2018-W45","Česko","CZ","33.32"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 46. týden 2018","2018-W46","Česko","CZ","33.16"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 47. týden 2018","2018-W47","Česko","CZ","32.96"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 48. týden 2018","2018-W48","Česko","CZ","32.79"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 49. týden 2018","2018-W49","Česko","CZ","32.36"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 50. týden 2018","2018-W50","Česko","CZ","32.02"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 51. týden 2018","2018-W51","Česko","CZ","31.74"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 02. týden 2019","2019-W02","Česko","CZ","31.03"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 03. týden 2019","2019-W03","Česko","CZ","30.68"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 04. týden 2019","2019-W04","Česko","CZ","30.47"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 05. týden 2019","2019-W05","Česko","CZ","30.34"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 06. týden 2019","2019-W06","Česko","CZ","30.17"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 07. týden 2019","2019-W07","Česko","CZ","30.06"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 08. týden 2019","2019-W08","Česko","CZ","29.99"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 09. týden 2019","2019-W09","Česko","CZ","30.1"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 10. týden 2019","2019-W10","Česko","CZ","30.2"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 11. týden 2019","2019-W11","Česko","CZ","30.29"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 12. týden 2019","2019-W12","Česko","CZ","30.43"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 13. týden 2019","2019-W13","Česko","CZ","30.61"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 14. týden 2019","2019-W14","Česko","CZ","31.07"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 15. týden 2019","2019-W15","Česko","CZ","31.76"
